Year,Age,4-Year Public In State (Stem) — Midwest - Income,4-Year Public In State (Stem) — Midwest - Expenses,4-Year Public In State (Stem) — Midwest - Loan Payment,4-Year Public In State (Stem) — Midwest - Debt,4-Year Public In State (Stem) — Midwest - Savings,4-Year Public In State (Stem) — Midwest - Investments,4-Year Public In State (Stem) — Midwest - Net Worth,CC + Transfer (Business) — Midwest - Income,CC + Transfer (Business) — Midwest - Expenses,CC + Transfer (Business) — Midwest - Loan Payment,CC + Transfer (Business) — Midwest - Debt,CC + Transfer (Business) — Midwest - Savings,CC + Transfer (Business) — Midwest - Investments,CC + Transfer (Business) — Midwest - Net Worth,Electrician Apprenticeship — Midwest - Income,Electrician Apprenticeship — Midwest - Expenses,Electrician Apprenticeship — Midwest - Loan Payment,Electrician Apprenticeship — Midwest - Debt,Electrician Apprenticeship — Midwest - Savings,Electrician Apprenticeship — Midwest - Investments,Electrician Apprenticeship — Midwest - Net Worth,Military Enlistment + GI Bill — Midwest - Income,Military Enlistment + GI Bill — Midwest - Expenses,Military Enlistment + GI Bill — Midwest - Loan Payment,Military Enlistment + GI Bill — Midwest - Debt,Military Enlistment + GI Bill — Midwest - Savings,Military Enlistment + GI Bill — Midwest - Investments,Military Enlistment + GI Bill — Midwest - Net Worth,Direct Workforce — Midwest - Income,Direct Workforce — Midwest - Expenses,Direct Workforce — Midwest - Loan Payment,Direct Workforce — Midwest - Debt,Direct Workforce — Midwest - Savings,Direct Workforce — Midwest - Investments,Direct Workforce — Midwest - Net Worth
0,18,8000,8640,0,58664,0,0,-58664,10000,8640,0,42730,0,0,-42730,33250,8640,0,15592,1862,1862,-13729,39696,4800,0,0,2775,2775,2775,33648,8640,0,0,1895,1895,1895
1,19,8000,8640,0,62478,0,0,-62478,10000,8640,0,45507,0,0,-45507,39900,8640,0,16605,2408,4401,-12204,42780,4800,0,0,3028,5997,5997,34321,8640,0,0,1950,3978,3978
2,20,8000,23760,0,66539,0,0,-66539,10000,23760,0,48465,0,0,-48465,46550,23760,0,17684,1441,6150,-11535,44532,4800,0,0,3172,9589,9589,35007,23760,0,0,495,4751,4751
3,21,8000,23760,0,70864,0,0,-70864,10000,23760,0,51616,0,0,-51616,53200,23760,0,18834,1986,8567,-10267,49584,4800,0,0,3586,13846,13846,35708,23760,0,0,552,5636,5636
4,22,38000,23760,0,75470,740,740,-74730,30386,23760,0,54971,116,116,-54855,64420,23760,4422,15539,2464,11631,-3908,28056,8640,0,0,1942,16757,16757,36422,23760,0,0,611,6641,6641
5,23,79040,23760,10283,69929,3077,3869,-66060,62899,23760,7490,50935,2033,2156,-48778,66030,23760,4422,12023,2596,15041,3018,28056,8640,0,0,1942,19871,19871,37150,23760,0,0,670,7776,7776
6,24,82202,23760,10283,64017,3336,7476,-56541,65100,23760,7490,46629,2213,4521,-42108,67681,23760,4422,8272,2732,18825,10553,28056,23760,0,0,430,21692,21692,37893,23760,0,0,731,9052,9052
7,25,85490,23760,10283,57709,3606,11605,-46104,67379,23760,7490,42034,2400,7237,-34797,69373,23760,4422,4270,2870,23014,18743,28056,23760,0,0,430,23640,23640,38651,23760,0,0,793,10479,10479
8,26,88909,23760,10283,50978,3886,16303,-34675,69737,23760,7490,37132,2593,10337,-26794,71107,23760,4422,0,3013,27637,27637,76000,23760,0,0,3856,29151,29151,39424,23760,0,0,857,12069,12069
9,27,92466,23760,10283,43797,4178,21623,-22175,72178,23760,7490,31901,2794,13854,-18047,72885,23760,0,0,3601,33172,33172,79040,23760,0,0,4105,35296,35296,40213,23760,0,0,921,13835,13835
10,28,96164,23760,10283,36135,4481,27617,-8518,74704,23760,7490,26320,3001,17825,-8495,74707,23760,0,0,3750,39244,39244,82202,23760,0,0,4365,42132,42132,41017,23760,0,0,987,15791,15791
11,29,100011,23760,10283,27960,4797,34347,6387,77319,23760,7490,20365,3215,22288,1922,76575,23760,0,0,3903,45894,45894,85490,23760,0,0,4634,49715,49715,41837,23760,0,0,1055,17951,17951
12,30,104011,23760,10283,19237,5125,41876,22639,80025,23760,7490,14012,3437,27285,13273,78489,23760,0,0,4060,53167,53167,88909,23760,0,0,4915,58110,58110,42674,23760,0,0,1123,20331,20331
13,31,108172,23760,10283,9930,5466,50273,40343,82826,23760,7490,7233,3667,32862,25629,80451,23760,0,0,4221,61110,61110,92466,23760,0,0,5206,67384,67384,43527,23760,0,0,1193,22947,22947
14,32,112499,23760,10283,0,5821,59613,59613,85725,23760,7490,0,3904,39066,39066,82462,23760,0,0,4386,69773,69773,96164,23760,0,0,5509,77610,77610,44398,23760,0,0,1265,25818,25818
15,33,116999,23760,0,0,7218,71003,71003,88725,23760,0,0,4899,46700,46700,84524,23760,0,0,4555,79213,79213,100011,23760,0,0,5825,88867,88867,45286,23760,0,0,1337,28963,28963
16,34,121678,23760,0,0,7602,83575,83575,91831,23760,0,0,5154,55124,55124,86637,23760,0,0,4728,89486,89486,104011,23760,0,0,6153,101241,101241,46192,23760,0,0,1412,32402,32402
17,35,126546,23760,0,0,8001,97426,97426,95045,23760,0,0,5418,64400,64400,88803,23760,0,0,4906,100656,100656,108172,23760,0,0,6494,114822,114822,47115,23760,0,0,1487,36158,36158
18,36,131607,23760,0,0,8416,112662,112662,98371,23760,0,0,5690,74598,74598,91023,23760,0,0,5088,112789,112789,112499,23760,0,0,6849,129708,129708,48058,23760,0,0,1565,40253,40253
19,37,136872,23760,0,0,8847,129396,129396,101814,23760,0,0,5973,85793,85793,93299,23760,0,0,5274,125959,125959,116999,23760,0,0,7218,146006,146006,49019,23760,0,0,1644,44715,44715
